,average vc size
2.3422700000000001,5.9518619436875557
1602.0788473000002,5.0141083863154723
3201.8154246000004,4.2591886164093253
4801.5520019000005,3.6278534665455644
6401.2885792000006,3.1069028156221616
8001.0251565000008,2.6856796851347262
9600.7617338,2.3419618528610355
11200.4983111,2.0475628216772632
12800.2348884,1.8030275507114748
14399.9714657,1.6001816530426887
15999.708043000001,1.432879200726612
17599.444620300004,1.2927944293066909
19199.181197600003,1.180926430517711
20798.917774900001,1.093460490463215
22398.654352200003,1.0175295186194371
23998.390929500005,0.96279140175597955
25598.127506800003,0.91335149863760223
27197.864084100001,0.87366030881017276
28797.600661400003,0.84178019981834695
30397.337238700005,0.81362397820163479
31997.073816000004,0.79140175597941265
33596.810393300002,0.77487132909476231
35196.546970600008,0.76139872842870115
36796.283547900006,0.74910687254011521
38396.020125200004,0.73608840448077495
39995.756702500003,0.72691492582500761
41595.493279800001,0.72101120193763246
43195.229857100006,0.71362397820163481
44794.966434400005,0.70808356039963671
46394.703011700003,0.70087798970632764
47994.439589000009,0.6979412655161974
49594.176166300007,0.69421737814108397
51193.912743600005,0.68910081743869223
52793.649320900004,0.68458976687859519
54393.385898200002,0.68132001211020288
55993.122475500008,0.67662730850741748
57592.859052800006,0.67305479866787765
59192.595630100004,0.67008779897063275
60792.33220740001,0.66690887072358462
62392.068784700008,0.66009688162276725
63991.805362000006,0.65543445352709662
65591.541939300005,0.65089312745988503
67191.278516599996,0.64674538298516493
68791.015093900001,0.64486830154405084
70390.751671200007,0.64353617923100204
71990.488248499998,0.64241598546775658
73590.224825800004,0.64026642446260973
75189.961403099995,0.63751135331516795
76789.6979804,0.63454435361792316
78389.434557700006,0.63191038449894044
79989.171134999997,0.62945806842264607
81588.907712300002,0.62606721162579482
83188.644289599993,0.62512867090523772
84788.380866899999,0.6244323342415985
86388.117444200005,0.62252497729336964
87987.854021499996,0.62116257947320619
89587.590598800001,0.62043596730245221
91187.327176100007,0.61922494701786246
92787.063753399998,0.61816530426884642
94386.800330700004,0.61592491674235539
95986.536908000009,0.6145927944293067
97586.2734853,0.61359370269451996
99186.010062600006,0.61195882531032397
100785.7466399,0.60968816227671807
102385.4832172,0.60635785649409624
103985.21979450001,0.60266424462609747
105584.9563718,0.60033303057826215
107184.6929491,0.59857705116560689
108784.4295264,0.59800181653042672
110384.1661037,0.59706327580986973
111983.90268100001,0.59485316379049347
113583.6392583,0.59324856191341202
115183.3758356,0.59212836815016656
116783.11241290001,0.59055404178019999
118382.8489902,0.58955495004541336
119982.58556750001,0.58900999091734796
121582.32214480001,0.58807145019679097
123182.0587221,0.58646684831970941
124781.79529940001,0.58607326672721771
126381.5318767,0.58583106267029983
127981.268454,0.58507417499243108
129581.00503130001,0.5842870118074478
131180.74160860002,0.58380260369361181
132780.47818589999,0.58259158340902206
134380.2147632,0.57983651226158039
135979.9513405,0.57874659400544959
137579.68791780001,0.57602179836512257
139179.42449510001,0.57254011504692703
140779.16107240002,0.57148047229791099
142378.8976497,0.57141992128368146
143978.634227,0.57117771722676358
145578.37080430001,0.57084468664850141
147178.10738160001,0.57081441114138665
148777.84395890002,0.57081441114138665
150377.5805362,0.57081441114138665
151977.3171135,0.57072358462004247
153577.05369080001,0.56993642143505907
155176.79026810001,0.56884650317892826
156776.52684540002,0.56781713593702698
158376.26342269999,0.56760520738722375
